#critical_type_id;minimum;desc
1;-49;Poco dominio. No hay daño extra.
1;6;Fractura leve en las costillas. -5PV. -5 a la actividad.
1;21;Golpe en un costado. -4PV. -40 a la actividad durante 1 asalto.
1;36;Golpe en el antebrazo. -5PV. Aturdido durante 1 asalto.
1;51;Un golpe al hombro del lado del escudo, rompe el escudo. Si no hay, el hombro se rompe y el brazo queda inutilizado.
1;66;El golpe rompe un hueso de la pierna. -12PV. -40 a la actividad. Aturdido durante 2 asaltos.
1;80;Golpe en la frente. -30PV. Un ojo destruido. Aturdido 24 asaltos. Si no se lleva yelmo puesto, en coma 1 mes.
1;81;El golpe rompe el brazo del arma. El brazo inutilizado. Daño en los tendones. -8PV. Aturdido durante 2 asaltos.
1;87;Rodilla hecha trizas. -9PV. -60 a la actividad. Derribado y aturdido durante 3 asaltos.
1;90;Un golpe en la base del cuello deja paralizado de los hombros hacia abajo. -25PV. El enemigo queda desconcertado.
1;91;Inconsciente 4 horas por un golpe en un lado de la cabeza. Si no lleva yelmo, cráneo queda aplastado. -20PV.
1;97;Un golpe tremendo en el pecho hace que las costillas perforen los pulmones. Cae y muere en 6 asaltos. Salvaje.
1;100;Golpe en la mandíbula, hace que el hueso penetre en el cerebro. Muerte instantánea.
1;101;Un golpe rompe la cadera. -15PV. -75 a la actividad. Cae al suelo y queda aturdido durante 3 asaltos.
1;107;Un golpe en el cuello aplasta la garganta. No puede respirar y queda aturdido 12 asaltos. Después, el pobre infeliz muere.
1;110;Cadera aplastada. -35PV. Aturdido durante 2 asaltos. Activo los siguientes cuatro asaltos, pero luego muere debido a un fallo del sistema nervioso.
1;111;Destrozado el codo del brazo que sostenía el arma. El brazo queda inutilizado. Aturdido 5 asaltos.
1;117;Un golpe en el costado aplasta la cavidad torácica. Cae y muere en 3 asaltos.
1;120;Golpe tremendo en la zona del pecho. El corazón queda destruido y el sujeto muere instantáneamente. -25PV. Un buen trabajo.
2;-49;Un golpe débil que no produce daño extra.
2;6;Herida leve en la pantorrilla. 1 Punto de Vida por asalto.
2;21;Golpe en la parte superior de la pierna. -5PV. Si no se llevan grebas, 3PV y +2PV por asalto.
2;36;Herida leve en el pecho. -3PV. 1PV por asalto. -5 a la actividad.
2;51;Herida leve en el antebrazo. -4PV. 2 PV más por asalto. Aturdido durante 1 asalto.
2;66;Herida menos grave en el muslo. -6PV. 1PV por asalto. -10 a la actividad. Aturdido durante 2 asaltos.
2;80;Un golpe en el cuello secciona la arteria carótida. Cuello roto. Muerte tras 1 asalto de intensa agonía.
2;81;Tajo en los músculos y tendones del brazo que esgrime el arma. El brazo queda inutilizado. -10PV y 1PV más cada asalto.
2;87;Un ojo destruído. -10PV. Aturdido durante 30 asaltos.
2;90;Destripado, muere instantáneamente. 25% de que tu arma se quede atascada en el contrincante durante 2 asaltos.
2;91;Inconsciente 6 horas debido a un tajo en el lado de la cabeza. -15PV. Si no se lleva yelmo, muerte instantánea.
2;97;Extremo inferior de la pierna seccionado. -20PV por asalto. Cae y se desmaya.
2;100;Tajo abierto en el costado. Cae inconsciente y muere en 3 asaltos debido a daños masivos en los órganos internos.
2;101;Grave herida en el abdomen. -10PV. Pierde 8PV más cada asalto. -10 a la actividad. Aturdido durante 4 asaltos.
2;107;El brazo que esgrimía el arma queda cercenado. -15PV por asalto. Cae inconsciente inmediatamente.
2;110;Corazón empalado. Muere instantáneamente, el corazón destrozado. 25% de que el arma se quede atascada en el enemigo durante 3 asaltos.
2;111;Mano cercenada. 12 PV por asalto. Cae al suelo y queda aturdido durante 6 asaltos.
2;117;Tajo en la espina dorsal. Colapso inmediato. Paralizado desde el cuello para abajo, permanentemente. -20PV adicionales.
2;120;Un tajo en la cabeza destruye el cerebro, lo que hace difícil que el pobre infeliz siga con vida. Cae fulminado.
3;-49;Golpe oblicuo. No hay daño extra.
3;6;Golpe oblicuo en un costado. -3PV.
3;21;Impacto en el muslo, -3PV. Si no se lleva armadura, -3PV más por asalto.
3;36;Herida leve en el antebrazo. -2PV. Aturdido durante 1 asalto.
3;51;Impacto en un lado del pecho. Pérdida de un PV por asalto. Aturdido durante 1 asalto.
3;66;Impacto en la parte inferior de la pierna. Tendones desgarrados y -3PV, -25 a la actividad. Aturdido 1 asalto.
3;80;Impacto en el cuello. Nervios y vasos sanguíneos seccionado. Muerte por fallo del corazón.
